ImageID,Num_of_Positive,Num_of_Neutral,Num_of_Negative
1065482070473477545_36371954,3,0,0
1065871736555939639_220450744,3,0,0
1064506841819276390_494131816,3,0,0
1065357975555734228_225972109,3,0,0
1031954273746752712_466641988,3,0,0
595217712180023328_192050179,3,0,0
769698427364132144_14458536,3,0,0
1043411128351222207_203441049,3,0,0
482762449983070108_392392262,3,0,0
685250688628003583_374494323,3,0,0
1068143241733412057_515724164,3,0,0
1059999625980650875_29437024,3,0,0
1063098835802457010_17252239,3,0,0
856682792727249079_243533231,3,0,0
716021104463378351_219938644,3,0,0
895190511556270883_508981829,3,0,0
1066033705084956584_511272986,3,0,0
1059672855978460700_1656068600,3,0,0
945637893449610137_1586673483,3,0,0
1064689310199565129_412316649,3,0,0
1030862876671993527_218837808,3,0,0
968912952912498261_285287034,3,0,0
471214227312579826_195836252,3,0,0
1059048190916359754_440756468,3,0,0
983632259541377937_915696287,3,0,0
1064393770799955484_1677677782,3,0,0
880922745985770343_313970711,3,0,0
1059982489455135368_324001761,3,0,0
1062030438081586267_235215088,3,0,0
1055308703353722429_31314532,3,0,0
1052321789093143733_226339920,3,0,0
1040179230995786670_331563977,3,0,0
1055327772585955046_925091474,3,0,0
910542613929456130_280021979,3,0,0
1060957783576194053_303014010,3,0,0
1047894927377208467_390209132,3,0,0
1037199188194412208_1717357480,3,0,0
1035601875268975716_1060142222,3,0,0
1047181580249019068_49646227,3,0,0
1065285940119731340_365855894,3,0,0
1034511248973158496_1287873125,3,0,0
1064084959900199591_238238065,3,0,0
962358226144850474_38950635,3,0,0
799006213126353574_38793707,3,0,0
976337348893757521_472674243,3,0,0
1065845873373222317_30813716,3,0,0
727322532506061350_319772641,3,0,0
1068281326497183976_2173230781,3,0,0
1061684055664083087_1669830879,3,0,0
1054750717609835678_209543646,3,0,0
1046568352762783920_1684336497,3,0,0
1055628515241553996_23064027,3,0,0
1045725384171648316_21672620,3,0,0
843988057840329884_663124008,3,0,0
1063633958384602154_204685930,3,0,0
